Ранг ГЛ;Ранг РУ;Уровень;По-английски;По-французски;Инфинитив;Подробности;Разговорный;Неправильный;Группа ;Суффикс спряжения;Совершенный вид;Пара аспектов;Возвратный;Действительный;Я;Ты;Он/Она/Оно;Мы;Вы;Они;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время;Скрытый1-unwantedToExport;Скрытый2-genericFirstTrans
10000;10000;A1;"shut; close";fermer;закрыть;;;;;;совер.;закрывать/закрыть;;;закрою;закроешь;закроет;закроете;закроем;закроют;закрой;закройте;;закрыв, *закрывши;;закрывший;;закрытый;;
91;548;A1;"invite; ask";"inviter à; pour";приглашать;;;;;;несовер.;приглашать/пригласить;;;приглашаю;приглашаешь;приглашает;приглашаете;приглашаем;приглашают;приглашай;приглашайте;приглашая;приглашав;приглашающий;приглашавший;приглашаемый;;;
10000;10000;A1;"invite; ask";"inviter à; pour";пригласить;;;;;;совер.;приглашать/пригласить;;;приглашу;пригласишь;пригласит;пригласите;пригласим;пригласят;пригласи;пригласите;;пригласив, *пригласивши;;пригласивший;;приглашённый;;
92;565;A1;"rest; relax";"se reposer; se délasser";отдыхать;;;;;;несовер.;отдыхать/отдохнуть;;действит.;отдыхаю;отдыхаешь;отдыхает;отдыхаете;отдыхаем;отдыхают;отдыхай;отдыхайте;отдыхая;отдыхав;отдыхающий;отдыхавший;отдыхающий;отдыхавший;;
10000;10000;A1;"rest; relax";"se reposer; se délasser";отдохнуть;;;;;;совер.;отдыхать/отдохнуть;;действит.;отдохну;отдохнёшь;отдохнёт;отдохнёте;отдохнём;отдохнут;отдохни;отдохните;;отдохнув, *отдохнувши;;отдохнувший;;;;
93;576;A1;dance;danser;танцевать;;;;;;несовер.;танцевать/станцевать;;;танцую;танцуешь;танцует;танцуете;танцуем;танцуют;танцуй;танцуйте;танцуя;танцевав;танцующий;танцевавший;танцуемый;танцованный;;
10000;10000;A1;dance;danser;станцевать;;;;;;совер.;танцевать/станцевать;;;станцую;станцуешь;станцует;станцуете;станцуем;станцуют;станцуй;станцуйте;;станцевав, *станцевавши;;станцевавший;;;;
94;577;A1;"pronounce; articulate";"prononcer; articuler";произносить;;;;;;несовер.;произносить/произнести;;;произношу;произносишь;произносит;произносите;произносим;произносят;произноси;произносите;произнося;произносив;произносящий;произносивший;произносимый;;;
10000;10000;A1;"pronounce; articulate";"prononcer; articuler";произнести;;;неправ.;;;совер.;произносить/произнести;;;произнесу;произнесёшь;произнесёт;произнесёте;произнесём;произнесут;произнеси;произнесите;;произнеся, *произнёсши;;произнёсший;;произнесённый;;
95;608;A1;"put; lay (down)";"mettre; poser";класть;;;;;;несовер.;класть/положить;;;кладу;кладёшь;кладёт;кладёте;кладём;кладут;клади;кладите;кладя;клав;кладущий;клавший;;;;
